,Team,Player,Bat_score,Runs_hit,Balls_faced,Outs,Batting_avg,Batting_SR,cluster
0,Delhi Daredevils,SS Iyer,-0.46075838799999996,807,628,29,27.82758621,128.50318470000002,0
1,Delhi Daredevils,CH Morris,-0.49084598700000004,439,265,12,36.58333333,165.6603774,0
2,Delhi Daredevils,RR Pant,-0.478817503,564,373,22,25.63636364,151.2064343,0
3,Delhi Daredevils,GJ Maxwell,-0.39945224,1229,748,49,25.08163265,164.3048128,3
4,Delhi Daredevils,G Gambhir,0.388122629,4132,3316,131,31.54198473,124.60796140000001,2
5,Delhi Daredevils,A Mishra,-0.483147031,340,363,29,11.72413793,93.66391185,0
6,Delhi Daredevils,HV Patel,-0.49896224200000006,47,34,9,5.222222222,138.23529409999998,4
7,Delhi Daredevils,S Nadeem,-0.499366297,26,70,12,2.166666667,37.14285714,4
8,Delhi Daredevils,DT Christian,-0.483440951,420,341,23,18.26086957,123.1671554,0
9,Delhi Daredevils,TA Boult,-0.5,5,8,0,5.0,62.5,4
10,Delhi Daredevils,NV Ojha,-0.30995893399999996,1553,1309,74,20.98648649,118.64018329999999,3
11,Mumbai Indians,RG Sharma,0.39058270700000003,4207,3214,129,32.6124031,130.8960797,2
12,Mumbai Indians,JJ Bumrah,-0.49986470299999997,25,26,2,12.5,96.15384615,4
13,Mumbai Indians,KA Pollard,-0.181551593,2354,1602,82,28.70731707,146.9413233,1
14,Mumbai Indians,Mustafizur Rahman,-0.5,0,0,0,0.0,0.0,4
15,Mumbai Indians,PJ Cummins,-0.49901138700000003,77,55,6,12.83333333,140.0,4
16,Mumbai Indians,SA Yadav,-0.47016261299999995,608,466,29,20.96551724,130.472103,0
17,Mumbai Indians,KH Pandya,-0.488411673,480,303,14,34.28571429,158.4158416,0
18,Mumbai Indians,SS Tiwary,-0.40476955299999995,1276,1067,45,28.35555556,119.58762890000001,3
19,Mumbai Indians,PJ Sangwan,-0.499650098,24,35,6,4.0,68.57142857,4
20,Mumbai Indians,JP Duminy,-0.335595645,1993,1596,50,39.86,124.87468670000001,3
21,Mumbai Indians,AP Tare,-0.485887481,339,273,24,14.125,124.17582420000001,0
22,Kings XI Punjab,AR Patel,-0.469251388,606,473,30,20.2,128.1183932,0
23,Kings XI Punjab,R Ashwin,-0.49111343,231,240,22,10.5,96.25,4
24,Kings XI Punjab,Yuvraj Singh,-0.069133943,2591,1974,101,25.65346535,131.2563323,1
25,Kings XI Punjab,KK Nair,-0.411418757,1158,912,46,25.17391304,126.9736842,3
26,Kings XI Punjab,CH Gayle,0.034172197,3651,2409,89,41.02247191,151.5566625,2
27,Kings XI Punjab,AJ Finch,-0.34338054,1604,1233,59,27.18644068,130.08921329999998,3
28,Kings XI Punjab,MP Stoinis,-0.497896227,163,132,7,23.28571429,123.48484850000001,4
29,Kings XI Punjab,MA Agarwal,-0.43729545700000005,814,660,46,17.69565217,123.33333329999999,0
30,Kings XI Punjab,MK Tiwary,-0.34752217700000004,1648,1405,56,29.42857143,117.2953737,3
31,Kings XI Punjab,MM Sharma,-0.49701140000000005,112,102,14,8.0,109.8039216,4
32,Kings XI Punjab,AJ Tye,-0.499728344,53,30,2,26.5,176.66666669999998,4
33,Royal Challengers Bangalore,V Kohli,0.356213419,4423,3405,118,37.48305085,129.89721,2
34,Royal Challengers Bangalore,AB de Villiers,0.021588175,3486,2348,91,38.30769231,148.4667802,2
35,Royal Challengers Bangalore,BB McCullum,-0.055702386,2755,2102,98,28.112244899999997,131.06565179999998,1
36,Royal Challengers Bangalore,CR Woakes,-0.49959037100000003,46,47,4,11.5,97.87234043,4
37,Royal Challengers Bangalore,UT Yadav,-0.498721846,94,90,7,13.42857143,104.4444444,4
38,Royal Challengers Bangalore,YS Chahal,-0.49988168299999997,15,28,3,5.0,53.57142857,4
39,Royal Challengers Bangalore,M Vohra,-0.437631638,957,721,39,24.53846154,132.7323162,0
40,Royal Challengers Bangalore,Mandeep Singh,-0.39831114799999995,1112,920,55,20.21818182,120.8695652,3
41,Royal Challengers Bangalore,P Negi,-0.48775123200000003,353,272,20,17.65,129.7794118,0
42,Royal Challengers Bangalore,NM Coulter-Nile,-0.499088707,52,50,8,6.5,104.0,4
43,Royal Challengers Bangalore,PA Patel,-0.090940664,2322,1981,107,21.70093458,117.2135285,1
44,Sunrisers Hyderabad,DA Warner,0.15918268800000002,4014,2825,100,40.14,142.0884956,2
45,Sunrisers Hyderabad,B Kumar,-0.49456600700000003,158,157,19,8.315789473999999,100.6369427,4
46,Sunrisers Hyderabad,S Dhawan,0.137294458,3561,2922,109,32.66972477,121.86858319999999,2
47,Sunrisers Hyderabad,Shakib Al Hasan,-0.479539751,500,384,24,20.83333333,130.2083333,0
48,Sunrisers Hyderabad,MK Pandey,-0.21434360000000002,2223,1847,78,28.5,120.35733619999999,1
49,Sunrisers Hyderabad,YK Pathan,-0.028576432000000002,2922,2000,98,29.81632653,146.1,1
50,Sunrisers Hyderabad,WP Saha,-0.34274037,1557,1191,61,25.52459016,130.7304786,3
