Sl no,Team 1,Team 2,Day,Date,Time,Venue
1,MI,CSK,Sat,7-Apr,8 (PM),Mumbai
2,DD,KXP,Sun,8-Apr,4 (PM),Delhi
3,KKR,RCB,Sun,8-Apr,8 (PM),Kolkata
4,SRH,RR,Mon,9-Apr,8 (PM),Hyderabad
5,CSK,KKR,Tue,10-Apr,8 (PM),Chennai
6,RR,DD,Wed,11-Apr,8 (PM),Jaipur
7,SRH,MI,Thu,12-Apr,8 (PM),Hyderabad
8,RCB,KXP,Fri,13-Apr,8 (PM),Bengaluru
9,MI,DD,Sat,14-Apr,4 (PM),Mumbai
10,KKR,SRH,Sat,14-Apr,8 (PM),Kolkata
11,RCB,RR,Sun,15-Apr,4 (PM),Bengaluru
12,KXP,CSK,Sun,15-Apr,8 (PM),Indore
13,KKR,DD,Mon,16-Apr,8 (PM),Kolkata
14,MI,RCB,Tue,17-Apr,8 (PM),Mumbai
15,RR,KKR,Wed,18-Apr,8 (PM),Jaipur
16,KXP,SRH,Thu,19-Apr,8 (PM),Indore
17,CSK,RR,Fri,20-Apr,8 (PM),Chennai
18,KKR,KXP,Sat,21-Apr,4 (PM),Kolkata
19,DD,RCB,Sat,21-Apr,8 (PM),Delhi
20,SRH,CSK,Sun,22-Apr,4 (PM),Hyderabad
21,RR,MI,Sun,22-Apr,8 (PM),Jaipur
22,KXP,DD,Mon,23-Apr,8 (PM),Indore
23,MI,SRH,Tue,24-Apr,8 (PM),Mumbai
24,RCB,CSK,Wed,25-Apr,8 (PM),Bengaluru
25,SRH,KXP,Thu,26-Apr,8 (PM),Hyderabad
26,DD,KKR,Fri,27-Apr,8 (PM),Delhi
27,CSK,MI,Sat,28-Apr,8 (PM),Chennai
28,RR,SRH,Sun,29-Apr,4 (PM),Jaipur
29,RCB,KKR,Sun,29-Apr,8 (PM),Bengaluru
30,CSK,DD,Mon,30-Apr,8 (PM),Chennai
31,RCB,MI,Tue,1-May,8 (PM),Bengaluru
32,DD,RR,Wed,2-May,8 (PM),Delhi
33,KKR,CSK,Thu,3-May,8 (PM),Kolkata
34,KXP,MI,Fri,4-May,8 (PM),Mohali
35,CSK,RCB,Sat,5-May,4 (PM),Chennai
36,SRH,DD,Sat,5-May,8 (PM),Hyderabad
37,MI,KKR,Sun,6-May,4 (PM),Mumbai
38,KXP,RR,Sun,6-May,8 (PM),Mohali
39,SRH,RCB,Mon,7-May,8 (PM),Hyderabad
40,RR,KXP,Tue,8-May,8 (PM),Jaipur
41,KKR,MI,Wed,9-May,8 (PM),Kolkata
42,DD,SRH,Thu,10-May,8 (PM),Delhi
43,RR,CSK,Fri,11-May,8 (PM),Jaipur
44,KXP,KKR,Sat,12-May,4 (PM),Mohali
45,RCB,DD,Sat,12-May,8 (PM),Bengaluru
46,CSK,SRH,Sun,13-May,4 (PM),Chennai
47,MI,RR,Sun,13-May,8 (PM),Mumbai
48,KXP,RCB,Mon,14-May,8 (PM),Mohali
49,KKR,RR,Tue,15-May,8 (PM),Kolkata
50,MI,KXP,Wed,16-May,8 (PM),Mumbai
51,RCB,SRH,Thu,17-May,8 (PM),Bengaluru
52,DD,CSK,Fri,18-May,8 (PM),Delhi
53,RR,RCB,Sat,19-May,4 (PM),Jaipur
54,SRH,KKR,Sat,19-May,8 (PM),Hyderabad
55,DD,MI,Sun,20-May,4 (PM),Delhi
56,CSK,KXP,Sun,20-May,8 (PM),Chennai
57,TBD,TBD,Tue,22-May,8 (PM),Mumbai
58,TBD,TBD,Wed,23-May,8 (PM),TBC
59,TBD,TBD,Fri,25-May,8 (PM),TBC
60,TBD,TBD,Sun,27-May,8 (PM),Mumbai
